file,func,line,C1,C2,C3,C4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,complexity_score,vulnerability_score
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrConcatFunction,471,1,0,0,0,2,4,0,0,0,0,1,0,1,0,2,1,10
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrReturnString,516,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,4
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrReplaceFunction,559,19,2,0,1,2,6,1,1,1,0,1,0,3,5,7,22,27
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrRegister,782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrXpathCtxtRegister,815,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltNewAttrElem,109,1,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,7
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltFreeAttrElem,130,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltFreeAttrElemList,141,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,3,4
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltAddAttrElemList,166,3,1,0,1,2,0,0,0,0,0,1,0,0,2,0,5,5
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltMergeAttrElemList,199,19,1,0,1,3,5,0,0,0,0,1,0,0,0,0,21,9
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltParseStylesheetAttributeSet,289,79,1,0,1,2,11,0,0,0,0,1,0,0,2,0,81,16
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltGetSAS,472,2,1,0,1,3,3,0,0,0,0,1,0,0,0,0,4,7
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltResolveSASCallback,491,5,1,0,1,5,10,0,0,0,0,1,0,0,0,0,7,16
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltMergeSASCallback,546,2,0,0,0,5,11,0,0,0,0,1,0,1,0,1,2,19
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltResolveStylesheetAttributeSet,588,3,1,0,1,1,6,0,0,0,0,1,0,0,0,0,5,8
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltAttributeInternal,640,19,0,0,0,5,0,0,0,0,0,1,0,2,4,2,19,14
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltAttribute,1021,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,7
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltApplyAttributeSet,1039,165,1,0,1,4,6,0,0,0,0,1,0,0,0,0,167,11
/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltFreeAttributeSetsHashes,1134,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/home/arpan/Documents/CBMC/libxslt/libxslt/attrvt.c,xsltNewAttrVT,63,2,0,0,0,1,3,0,0,0,0,1,0,0,0,0,2,5
/home/arpan/Documents/CBMC/libxslt/libxslt/attrvt.c,xsltFreeAttrVT,95,1,0,0,0,1,2,0,0,0,0,1,0,1,2,1,1,8
/home/arpan/Documents/CBMC/libxslt/libxslt/attrvt.c,xsltFreeAVTList,125,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,3,4
