bin_id,bin_range,rank_in_bin,file,func,line,complexity_score,vulnerability_score
0,1-1,217,/home/arpan/Documents/CBMC/libxslt/xsltproc/testThreads.c,main,268,1,2
0,1-1,218,/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncShutdown,187,1,1
0,1-1,219,/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncStyleShutdown,221,1,1
0,1-1,220,/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonShutdown,47,1,1
0,1-1,221,/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltFreeAttributeSetsHashes,1134,1,1
0,1-1,222,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltExtModuleRegisterDynamic,459,1,1
0,1-1,223,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeCtxtExts,642,1,1
0,1-1,224,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltXPathGetTransformContext,1369,1,1
0,1-1,225,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltRegisterTestModule,2229,1,1
0,1-1,226,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltHashScannerModuleFree,2246,1,1
0,1-1,227,/home/arpan/Documents/CBMC/libxslt/libxslt/functions.c,xsltRegisterAllFunctions,984,1,1
0,1-1,228,/home/arpan/Documents/CBMC/libxslt/libxslt/namespaces.c,xsltCopyNamespace,825,1,1
0,1-1,229,/home/arpan/Documents/CBMC/libxslt/libxslt/namespaces.c,xsltFreeNamespaceAliasHashes,847,1,1
0,1-1,230,/home/arpan/Documents/CBMC/libxslt/libxslt/pattern.c,xsltCleanupTemplates,2525,1,1
0,1-1,231,/home/arpan/Documents/CBMC/libxslt/libxslt/security.c,xsltSetDefaultSecurityPrefs,183,1,1
0,1-1,232,/home/arpan/Documents/CBMC/libxslt/libxslt/security.c,xsltSecurityAllow,230,1,1
0,1-1,233,/home/arpan/Documents/CBMC/libxslt/libxslt/security.c,xsltSecurityForbid,247,1,1
0,1-1,234,/home/arpan/Documents/CBMC/libxslt/libxslt/security.c,xsltCheckFilename,278,1,1
